statement_id,source_artifact_id,source_representation_id,location,location_detail,source_wording,status,repetition_class,repetition_basis,repetition_peer_statement_ids,evidence_strength,notes
STMT-HN-0001,SRC-HN-002,SREP-HN-002,paragraph:0,style=Normal,HAIR FOLLICLE OPTIMIZATION RESEARCH,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0002,SRC-HN-002,SREP-HN-002,paragraph:1,style=Title,Wnt/β-Catenin • Nutrition • Mitochondria • Laboratory Evaluation • Food Strategy,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0003,SRC-HN-002,SREP-HN-002,paragraph:2,style=Normal,"Working research document | Updated August 25, 2026",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0004,SRC-HN-002,SREP-HN-002,paragraph:3,style=Heading 1,Executive Summary,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0005,SRC-HN-002,SREP-HN-002,paragraph:4,style=Normal,"The hair follicle is a regenerative mini-organ whose stem cells and dermal papilla are coordinated by multiple signaling systems. Wnt/β-catenin is a central pathway in follicular stem-cell activation and anagen entry. Nutritional status does not simply 'make β-catenin'; rather, adequate energy, protein, micronutrient cofactors, endocrine function and redox balance help the follicle execute regenerative signals.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0006,SRC-HN-002,SREP-HN-002,paragraph:5,style=Normal,"The strongest practical strategy is therefore: identify demonstrable deficiencies or metabolic bottlenecks; correct them; provide adequate protein and energy; and use a diverse whole-food diet rich in seafood, eggs, legumes, meat as appropriate, mushrooms, vegetables, fruit, nuts/seeds and olive oil. Direct pharmacologic manipulation of β-catenin is not a nutritional goal because excessive Wnt/β-catenin signaling can be pathological.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0007,SRC-HN-002,SREP-HN-002,paragraph:6,style=Heading 1,1. Core Biological Model,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0008,SRC-HN-002,SREP-HN-002,paragraph:7,style=Normal,Canonical pathway:,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0009,SRC-HN-002,SREP-HN-002,paragraph:8,style=Normal,WNT ligand → Frizzled/LRP5/6 → Dishevelled → reduced β-catenin destruction → β-catenin accumulation → nuclear TCF/LEF signaling → follicular stem-cell activation → anagen → matrix proliferation → hair shaft production.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0010,SRC-HN-002,SREP-HN-002,paragraph:9,style=Normal,"Hair-follicle stem cells reside in a specialized niche, while dermal papilla cells act as a signaling hub. Wnt/β-catenin signaling is central to follicular regeneration and activation. Recent reviews continue to describe WNT, BMP and SHH as major regulators of follicle formation and cycling. (PubMed: 31100937; 32664659; 32163945; 2026 JAAD review.)",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
