statement_id,source_artifact_id,source_representation_id,location,location_detail,source_wording,pass1_repetition_class,statement_kind,claim_status,actionability_class,epistemic_scope,independence,evidence_relation,evidence_strength,ambiguity_flag,classification_notes
STMT-HN-0001,SRC-HN-002,SREP-HN-002,paragraph:0,style=Normal,HAIR FOLLICLE OPTIMIZATION RESEARCH,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0002,SRC-HN-002,SREP-HN-002,paragraph:1,style=Title,Wnt/β-Catenin • Nutrition • Mitochondria • Laboratory Evaluation • Food Strategy,unclear,laboratory_claim,candidate,informational,source_assertion,unclear,,0,none,Wording refers to laboratory/biomarker measurement content. Not evaluated for factual truth; historical source wording only.
STMT-HN-0003,SRC-HN-002,SREP-HN-002,paragraph:2,style=Normal,"Working research document | Updated August 25, 2026",unclear,unclear,candidate,informational,source_assertion,unclear,,0,type_ambiguous,Wording does not reliably fit a single statement_kind; left conservative. Not evaluated for factual truth; historical source wording only.
STMT-HN-0004,SRC-HN-002,SREP-HN-002,paragraph:3,style=Heading 1,Executive Summary,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0005,SRC-HN-002,SREP-HN-002,paragraph:4,style=Normal,"The hair follicle is a regenerative mini-organ whose stem cells and dermal papilla are coordinated by multiple signaling systems. Wnt/β-catenin is a central pathway in follicular stem-cell activation and anagen entry. Nutritional status does not simply 'make β-catenin'; rather, adequate energy, protein, micronutrient cofactors, endocrine function and redox balance help the follicle execute regenerative signals.",unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0006,SRC-HN-002,SREP-HN-002,paragraph:5,style=Normal,"The strongest practical strategy is therefore: identify demonstrable deficiencies or metabolic bottlenecks; correct them; provide adequate protein and energy; and use a diverse whole-food diet rich in seafood, eggs, legumes, meat as appropriate, mushrooms, vegetables, fruit, nuts/seeds and olive oil. Direct pharmacologic manipulation of β-catenin is not a nutritional goal because excessive Wnt/β-catenin signaling can be pathological.",unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0007,SRC-HN-002,SREP-HN-002,paragraph:6,style=Heading 1,1. Core Biological Model,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0008,SRC-HN-002,SREP-HN-002,paragraph:7,style=Normal,Canonical pathway:,unclear,mechanistic,candidate,none,source_assertion,unclear,,0,none,Wording describes a proposed biological/signaling process. Not evaluated for factual truth; historical source wording only.
STMT-HN-0009,SRC-HN-002,SREP-HN-002,paragraph:8,style=Normal,WNT ligand → Frizzled/LRP5/6 → Dishevelled → reduced β-catenin destruction → β-catenin accumulation → nuclear TCF/LEF signaling → follicular stem-cell activation → anagen → matrix proliferation → hair shaft production.,unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,none,Wording describes a proposed biological/signaling process. Not evaluated for factual truth; historical source wording only.
STMT-HN-0010,SRC-HN-002,SREP-HN-002,paragraph:9,style=Normal,"Hair-follicle stem cells reside in a specialized niche, while dermal papilla cells act as a signaling hub. Wnt/β-catenin signaling is central to follicular regeneration and activation. Recent reviews continue to describe WNT, BMP and SHH as major regulators of follicle formation and cycling. (PubMed: 31100937; 32664659; 32163945; 2026 JAAD review.)",unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0011,SRC-HN-002,SREP-HN-002,paragraph:10,style=Heading 1,2. Nutritional / Metabolic Bottlenecks,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0012,SRC-HN-002,SREP-HN-002,paragraph:11,style=Heading 1,3. Recommended Laboratory Framework,unclear,laboratory_claim,candidate,recommendation,source_recommendation,unclear,,0,none,Wording refers to laboratory/biomarker measurement content. Not evaluated for factual truth; historical source wording only.
STMT-HN-0013,SRC-HN-002,SREP-HN-002,paragraph:12,style=Normal,Use a tiered approach. The goal is to identify actionable bottlenecks rather than order every possible biomarker.,unclear,laboratory_claim,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0014,SRC-HN-002,SREP-HN-002,paragraph:13,style=Normal,Important: a serum β-catenin measurement is not a reliable proxy for what is happening inside hair-follicle stem cells. Tissue localization and downstream transcription are much closer to pathway activity.,unclear,laboratory_claim,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0015,SRC-HN-002,SREP-HN-002,paragraph:14,style=Heading 1,4. How the B1 → Mitochondria Axis Fits,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0016,SRC-HN-002,SREP-HN-002,paragraph:15,style=Normal,"Thiamine diphosphate is the active B1 form and a cofactor for the pyruvate dehydrogenase complex, which converts pyruvate to acetyl-CoA. That connects carbohydrate metabolism to the TCA cycle and downstream oxidative phosphorylation. The hypothesis is not 'B1 directly raises β-catenin'; rather, impaired energy/redox metabolism may reduce the follicle's ability to execute a regenerative program.",unclear,hypothesis,candidate,informational,source_hypothesis,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0017,SRC-HN-002,SREP-HN-002,paragraph:16,style=Normal,Conceptual chain: B1/ThDP → PDH → acetyl-CoA → TCA → NADH/FADH₂ → electron transport → ATP/redox → cellular proliferation and signaling.,unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0018,SRC-HN-002,SREP-HN-002,paragraph:17,style=Heading 1,5. Food Architecture,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
